Symbol
^GDAXI
BAS
HNR1
IFX
LIN
ALV
BAYN
AIR
PUM
BEI
DB1
ZAL
SIE
SHL
DTE
HEI
1COV
DBK
FME
DPW
BMW
FRE
MTX
RWE
ADS
MRK
DTG
CON
VOW3
SY1
HFG
BNR
DWNI
EOAN
MBG
MUV2
PAH3
QIA
SAP
SRT3
